requested_name,canonical_name,category,query_ja,query_en,photo_like_cg_ok
鉛筆,pencil,01_school_life,鉛筆 文房具,pencil stationery isolated no people,no
ノート,notebook,01_school_life,学習ノート,school notebook isolated no people,no
定規,ruler,01_school_life,定規,ruler isolated no people,no
水筒,water-bottle,01_school_life,子ども用 水筒,kids water bottle isolated no people,no
上履き,indoor-school-shoes,01_school_life,上履き,japanese school indoor shoes isolated no people,no
チョーク,chalk,01_school_life,チョーク,classroom chalk isolated no people,no
黒板消し,blackboard-eraser,01_school_life,黒板消し,blackboard eraser isolated no people,no
コンパス,drawing-compass,01_school_life,製図用コンパス,drawing compass tool isolated no people,no
絵の具,paint-set,01_school_life,絵の具セット,watercolor paint set isolated no people,no
虫メガネ,magnifying-glass,01_school_life,虫メガネ,magnifying glass isolated no people,no
磁石,bar-magnet,01_school_life,棒磁石,bar magnet isolated no people,no
時計,classroom-clock,01_school_life,壁掛け時計 学校,classroom wall clock no people,no
お弁当箱,lunch-box,01_school_life,子ども お弁当箱,kids lunch box isolated no people,no
タオル,towel,01_school_life,フェイスタオル,face towel isolated no people,no
歯ブラシ,toothbrush,01_school_life,子ども 歯ブラシ,kids toothbrush isolated no people,no
リモコン,remote-control,01_school_life,テレビ リモコン,tv remote control isolated no people,no
フライパン,frying-pan,01_school_life,フライパン,frying pan isolated no people,no
お皿,plate,01_school_life,白い 平皿,white dinner plate isolated no people,no
宿題のプリント,homework-worksheet,01_school_life,宿題 プリント,blank worksheet paper isolated no people,no
パパの靴,mens-shoes,01_school_life,男性用 革靴,men shoes isolated no people,no
消しゴム,eraser,01_school_life,消しゴム 文具,eraser stationery isolated no people,no
ランドセル,randoseru,01_school_life,ランドセル,randoseru school bag isolated no people,no
デニム,denim-jeans,01_school_life,デニム パンツ,denim jeans isolated no people,no
回し車,exercise-wheel,02_desk_gaming_pet,小動物 回し車,small pet exercise wheel isolated no people,no
キューブのタイマー,speedcubing-timer,02_desk_gaming_pet,スピードキューブ タイマー,speedcubing timer isolated no people,no
コントローラー,gaming-controller,02_desk_gaming_pet,ゲーム コントローラー,game controller isolated no people,no
ゲームのコントローラー,gaming-controller,02_desk_gaming_pet,ゲーム コントローラー,game controller isolated no people,no
イヤホン,earphones,02_desk_gaming_pet,有線 イヤホン,wired earphones isolated no people,no
マイク,microphone,02_desk_gaming_pet,卓上 マイク,desktop microphone isolated no people,no
ゲーミングチェア,gaming-chair,02_desk_gaming_pet,ゲーミングチェア,gaming chair isolated no people,no
マウスパッド,mouse-pad,02_desk_gaming_pet,マウスパッド,desk mouse pad isolated no people,no
漫画,manga-books,02_desk_gaming_pet,漫画 単行本,manga books stack no people,no
ポスター,poster,02_desk_gaming_pet,ポスター 壁,blank poster on wall no people,no
スナック菓子,snack-bag,02_desk_gaming_pet,スナック菓子,snack bag isolated no people,no
空き缶,empty-can,02_desk_gaming_pet,空き缶,empty soda can isolated no people,no
充電器,charger,02_desk_gaming_pet,USB 充電器,usb charger adapter isolated no people,no
ルービックキューブ,rubiks-cube,02_desk_gaming_pet,ルービックキューブ,rubiks cube isolated no people,no
モルモットのおやつ,guinea-pig-treats,02_desk_gaming_pet,モルモット おやつ,guinea pig treats isolated no people,no
ゲーミングPC,gaming-pc,02_desk_gaming_pet,ゲーミングPC,gaming pc setup no people,no
モニター,monitor,03_electronics_space_music,液晶モニター,lcd monitor isolated no people,no
マザーボード,motherboard,03_electronics_space_music,マザーボード,motherboard pcb isolated no people,no
USBメモリ,usb-flash-drive,03_electronics_space_music,USBメモリ,usb flash drive isolated no people,no
はんだ,solder-wire,03_electronics_space_music,はんだ 線材,solder wire isolated no people,no
モーター,dc-motor,03_electronics_space_music,DCモーター,dc motor isolated no people,no
歯車,gear,03_electronics_space_music,金属歯車,metal gear isolated no people,no
ネジ,screw,03_electronics_space_music,精密ネジ,machine screw isolated no people,no
電池,aa-battery,03_electronics_space_music,乾電池 単3,aa battery isolated no people,no
センサー,sensor-module,03_electronics_space_music,電子センサー モジュール,sensor module isolated no people,no
レーザー,laser-module,03_electronics_space_music,レーザーモジュール,laser module isolated no people,no
ドローン,drone,03_electronics_space_music,小型ドローン,quadcopter drone isolated no people,no
