requested_name,canonical_name,reason,searched_terms
デニム,denim-jeans,only 0/2 images found,denim jeans isolated no people | デニム パンツ
回し車,exercise-wheel,only 0/2 images found,small pet exercise wheel isolated no people | 小動物 回し車
キューブのタイマー,speedcubing-timer,only 0/2 images found,speedcubing timer isolated no people | スピードキューブ タイマー
コントローラー,gaming-controller,only 0/2 images found,game controller isolated no people | ゲーム コントローラー
ゲームのコントローラー,gaming-controller,only 0/2 images found,game controller isolated no people | ゲーム コントローラー
イヤホン,earphones,only 1/2 images found,wired earphones isolated no people | 有線 イヤホン
マイク,microphone,only 0/2 images found,desktop microphone isolated no people | 卓上 マイク
ゲーミングチェア,gaming-chair,only 0/2 images found,gaming chair isolated no people | ゲーミングチェア
マウスパッド,mouse-pad,only 1/2 images found,desk mouse pad isolated no people | マウスパッド
漫画,manga-books,only 1/2 images found,manga books stack no people | 漫画 単行本
ポスター,poster,only 0/2 images found,blank poster on wall no people | ポスター 壁
スナック菓子,snack-bag,only 0/2 images found,snack bag isolated no people | スナック菓子
充電器,charger,only 0/2 images found,usb charger adapter isolated no people | USB 充電器
モルモットのおやつ,guinea-pig-treats,only 0/2 images found,guinea pig treats isolated no people | モルモット おやつ
ゲーミングPC,gaming-pc,only 0/2 images found,gaming pc setup no people | ゲーミングPC
モニター,monitor,only 1/2 images found,lcd monitor isolated no people | 液晶モニター
マザーボード,motherboard,only 1/2 images found,motherboard pcb isolated no people | マザーボード
はんだ,solder-wire,only 0/2 images found,solder wire isolated no people | はんだ 線材
モーター,dc-motor,only 1/2 images found,dc motor isolated no people | DCモーター
歯車,gear,only 1/2 images found,metal gear isolated no people | 金属歯車
ネジ,screw,only 0/2 images found,machine screw isolated no people | 精密ネジ
電池,aa-battery,only 1/2 images found,aa battery isolated no people | 乾電池 単3
センサー,sensor-module,only 0/2 images found,sensor module isolated no people | 電子センサー モジュール
レーザー,laser-module,only 0/2 images found,laser module isolated no people | レーザーモジュール
ドローン,drone,only 0/2 images found,quadcopter drone isolated no people | 小型ドローン
VRゴーグル,vr-headset,only 0/2 images found,vr headset isolated no people | VRヘッドセット
トランシーバー,walkie-talkie,only 0/2 images found,walkie talkie isolated no people | トランシーバー
人工衛星,satellite,only 1/2 images found,satellite in orbit no people | 人工衛星
望遠鏡,telescope,only 0/2 images found,astronomical telescope no people | 天体望遠鏡
シンセサイザー,synthesizer,only 0/2 images found,analog synthesizer isolated no people | シンセサイザー
MIDIキーボード,midi-keyboard,only 0/2 images found,midi keyboard controller isolated no people | MIDIキーボード
はんだごて,soldering-iron,only 0/2 images found,soldering iron isolated no people | はんだごて
3Dプリンター,3d-printer,only 0/2 images found,3d printer isolated no people | 3Dプリンター
ブロック,game-block,only 0/2 images found,game block icon no people | ゲーム ブロック
トゲ,spike-trap,only 0/2 images found,spike trap icon no people | ゲーム トゲ
ジャンプ台,jump-pad,only 0/2 images found,jump pad icon no people | ジャンプ台 ギミック
ポータル,portal,only 0/2 images found,portal gate icon no people | ポータル
コイン,coin,only 0/2 images found,game coin icon no people | ゲーム コイン
スター,star,only 0/2 images found,collectible star icon no people | スター 収集アイテム
鍵,key,only 0/2 images found,game key icon no people | ゲーム 鍵
宝箱,treasure-chest,only 0/2 images found,treasure chest icon no people | 宝箱
回復のポーション,health-potion,only 0/2 images found,health potion icon no people | 回復 ポーション
毒消し,antidote,only 0/2 images found,antidote item icon no people | 毒消し アイテム
セーブデータ,save-point,only 0/2 images found,save point icon no people | セーブポイント
ワープゲート,warp-gate,only 0/2 images found,warp gate icon no people | ワープゲート
隠し通路,secret-passage,only 0/2 images found,secret passage game art no people | 隠し通路
ボスの扉,boss-door,only 0/2 images found,boss door icon no people | ボスの扉
スコアボード,scoreboard,only 0/2 images found,scoreboard game ui no people | スコアボード
経験値,xp-bar,only 0/2 images found,xp bar ui no people | 経験値バー
レベルアップの音,level-up-sound,only 0/2 images found,level up sound icon no people | レベルアップ 音
バグ技の裏道,glitch-route,only 0/2 images found,glitch route game map no people | バグ技 裏道
クリスタル,crystal,only 0/2 images found,crystal collectible no people | クリスタル
聖杯,holy-grail,only 0/2 images found,holy grail no people | 聖杯
エリクサー,elixir,only 0/2 images found,elixir potion bottle no people | エリクサー
ドラゴンのウロコ,dragon-scale,only 0/2 images found,dragon scale no people | ドラゴンのウロコ
フェニックスの羽,phoenix-feather,only 0/2 images found,phoenix feather no people | フェニックスの羽
妖精の粉,fairy-dust,only 1/2 images found,fairy dust no people | 妖精の粉
魔石,magic-stone,only 0/2 images found,magic crystal stone no people | 魔石
マント,cloak,only 0/2 images found,cloak isolated no people | マント
たて,shield,only 0/2 images found,shield isolated no people | 盾
かぶと,helmet,only 0/2 images found,helmet isolated no people | 兜
弓矢,bow-and-arrow,only 0/2 images found,bow and arrow isolated no people | 弓矢
短剣,dagger,only 1/2 images found,dagger isolated no people | 短剣
ヤリ,spear,only 0/2 images found,spear isolated no people | 槍
オノ,battle-axe,only 0/2 images found,battle axe isolated no people | 斧
ビームソード,beam-sword,only 0/2 images found,beam sword no people | ビームソード
世界樹の葉,yggdrasil-leaf,only 0/2 images found,fantasy leaf no people | 世界樹の葉
勇者の剣,hero-sword,only 0/2 images found,hero sword no people | 勇者の剣
魔法のリング,magic-ring,only 0/2 images found,magic ring isolated no people | 魔法のリング
天馬の羽,pegasus-feather,only 0/2 images found,pegasus feather no people | 天馬の羽
竜のキバ,dragon-fang,only 0/2 images found,dragon fang no people | 竜のキバ
幻のメダル,legendary-medal,only 0/2 images found,fantasy medal no people | 幻のメダル
オリハルコン（幻の金属）,orichalcum,only 0/2 images found,orichalcum fantasy metal no people | オリハルコン
ヒーローのサポートアイテム,hero-support-item,only 0/2 images found,hero gadget no people | ヒーロー ガジェット
空飛ぶじゅうたん,flying-carpet,only 1/2 images found,flying carpet no people | 空飛ぶじゅうたん
